order_no,product_code,batch_no,qty_ordered,qty_shipped
SO-4002,P006,P006-B01,20,20
SO-4002,P001,P001-B02,50,50
SO-4002,P004,P004-B02,80,80
SO-4003,P006,P006-B01,80,80
SO-4003,P004,P004-B01,120,120
SO-4003,P008,P008-B02,80,80
SO-4005,P007,P007-B01,40,40
SO-4005,P006,P006-B02,100,100
SO-4005,P004,P004-B02,80,80
SO-4006,P003,P003-B02,120,120
SO-4007,P007,P007-B01,100,100
SO-4007,P008,P008-B01,50,50
SO-4008,P009,P009-B02,20,20
SO-4008,P005,P005-B01,50,50
SO-4008,P006,P006-B01,80,80
SO-4009,P005,P005-B01,100,100
SO-4009,P009,P009-B01,20,20
SO-4009,P003,P003-B02,120,120
SO-4010,P006,P006-B02,40,40
SO-4011,P006,P006-B01,20,20
SO-4011,P008,P008-B02,50,50
SO-4011,P001,P001-B01,50,50
SO-4013,P009,P009-B01,40,40
SO-4013,P007,P007-B02,100,100
SO-4014,P006,P006-B02,100,100
SO-4014,P008,P008-B01,80,80
SO-4015,P006,P006-B01,20,20
SO-4016,P004,P004-B02,120,120
SO-4016,P001,P001-B01,120,120
SO-4016,P002,P002-B01,20,20
SO-4017,P002,P002-B01,40,40
SO-4017,P009,P009-B01,50,50
SO-4018,P003,P003-B01,40,40
SO-4018,P010,P010-B01,80,80
SO-4018,P008,P008-B02,80,80
SO-4019,P007,P007-B02,80,80
SO-4019,P006,P006-B02,80,80
SO-4019,P010,P010-B02,120,120
SO-4021,P007,P007-B02,40,40
SO-4022,P008,P008-B01,100,100
SO-4023,P004,P004-B02,40,40
SO-4024,P007,P007-B01,20,20
SO-4025,P005,P005-B01,50,50
SO-4025,P008,P008-B01,80,80
SO-4026,P004,P004-B01,50,50
SO-4027,P006,P006-B01,100,100
SO-4027,P001,P001-B02,80,80
SO-4027,P010,P010-B01,100,100
SO-4028,P009,P009-B01,20,20
SO-4029,P002,P002-B01,20,20
SO-4029,P004,P004-B02,100,100
SO-4029,P007,P007-B01,40,40
SO-4030,P002,P002-B01,50,50
SO-4030,P007,P007-B02,50,50
SO-4030,P009,P009-B01,40,40
SO-4033,P009,P009-B02,40,40
SO-4034,P002,P002-B01,50,50
SO-4034,P004,P004-B02,50,50
SO-4035,P009,P009-B01,50,50
SO-4035,P001,P001-B01,120,120
SO-4035,P009,P009-B02,20,20
SO-4036,P002,P002-B02,120,120
SO-4037,P010,P010-B02,120,120
SO-4037,P004,P004-B01,50,50
SO-4038,P001,P001-B02,120,120
SO-4038,P002,P002-B01,80,80
SO-4039,P006,P006-B01,40,40
SO-4041,P010,P010-B01,40,40
SO-4041,P009,P009-B02,80,80
SO-4042,P001,P001-B02,40,40
SO-4042,P006,P006-B02,120,120
SO-4043,P007,P007-B02,40,40
SO-4043,P003,P003-B01,40,40
SO-4043,P004,P004-B02,80,80
SO-4044,P004,P004-B02,40,40
SO-4044,P005,P005-B01,120,120
SO-4045,P004,P004-B02,80,80
SO-4045,P004,P004-B01,50,50
SO-4046,P004,P004-B01,80,80
SO-4047,P006,P006-B02,80,80
SO-4047,P009,P009-B01,120,120
SO-4048,P002,P002-B02,50,50
SO-4049,P002,P002-B02,100,100
SO-4050,P010,P010-B02,20,20
SO-4050,P009,P009-B01,80,80
SO-4001,P001,P001-B01,40,40
SO-4012,P006,P006-B01,20,20
SO-4004,P004,P004-B01,50,50
SO-4020,P002,P002-B02,30,30
SO-4031,P003,P003-B01,100,80
SO-4032,P003,P003-B01,100,120
SO-4040,P005,P005-B01,40,40
